Number,Text,Edited text,Segmented sentences
100,"In a blender put the seltzer. Squeeze the juice from half a lemon on top of the seltzer. Add the splenda and then the watermelon. Blend until slushy. Depending on your blender, you may need a tad more seltzer.",In a blender put the seltzer. Squeeze the juice from a lemon on the seltzer. Add the splenda and then the watermelon to the mix. Blend the mix until slushy.,In a blender put the seltzer. Squeeze the juice from a lemon on the seltzer. Add the splenda and then the watermelon to the mix. Blend the mix until slushy.
107,"Put milk, onion salt and pepper sauce into a medium saucepan. Tear cheese into small pieces and add to pan. Heat over medium-low to medium heat until cheese is melted and mixture is smooth.","Put milk, onion salt and pepper sauce into a medium saucepan. Tear cheese into small pieces and add cheese to pan. Heat the cheese over medium-low to medium heat until cheese is melted and mixture is smooth.","Put milk, onion salt and pepper sauce into a medium saucepan. Tear cheese into small pieces and! add cheese to pan. Heat the cheese over medium-low to medium heat until cheese is melted and mixture is smooth."
108,Rub ribs with 1/3 of this mix. Cook ribs 30 min at 450 degrees. To rest of mix add in 8 oz can tomato sauce and 1/4 c. vinegar. Bring to boil. Turn oven back to 375 degrees. Baste with remaining mix. Bake 1 hour.,Rub ribs with the mix. Cook ribs 30 min at 450 degrees. To the mix add in tomato sauce and vinegar. Bring the mix to boil. Turn on the oven back to 375 degrees. Baste the ribs with mix. Bake the ribs for 1 hour.,Rub ribs with the mix. Cook ribs 30 min at 450 degrees. To the mix add in tomato sauce and vinegar. Bring the mix to boil. Turn on the oven to 375 degrees. Baste the ribs with mix. Bake the ribs for 1 hour.
110,Heat breakfast links as directed on package; cut lengthwise in half. Spread tortilla with reduced-fat cream cheese; top with links. Fold tortilla in half. Cook in nonstick skillet on medium heat 2 min. on each side or until lightly browned on both sides.,Heat breakfast links as directed on package; cut breakfast links lengthwise in half. Spread tortilla with reduced-fat cream cheese; top tortilla with links. Fold tortilla in half. Cook tortilla in nonstick skillet on medium heat 2 minutes or until lightly browned.,Heat breakfast links as directed on package; cut breakfast links lengthwise in half. Spread tortilla with reduced-fat cream cheese; top tortilla with links. Fold tortilla in half. Cook tortilla in nonstick skillet on medium heat 2 minutes or until lightly browned.
112,Brown beef and bacon; drain. Add onion cook until transparent. Add the rest of the ingredients and heat. Simmer 10 minutes and serve.,Brown beef and bacon; drain beef and bacon. Add onion to the meat and cook the meat until transparent. Add the rest of the ingredients to the meat and heat the meat. Simmer the meat 10 minutes and serve the meat.,Brown beef and bacon; drain beef and bacon. Add onion to the meat and !cook the meat until transparent. Add the rest of the ingredients to the meat and! heat the meat. Simmer the meat 10 minutes and !serve the meat.
113,Heat chocolate on top of double boiler. Combine cream cheese with lowfat milk and gradually add in sugar and salt. Stir in melted chocolate and beat till smooth. Makes 2 c. frosting.,Heat chocolate on top of double boiler. Combine cream cheese with lowfat milk and gradually add in sugar and salt to the mix. Stir in the mix melted chocolate and beat the mix till smooth.,Heat chocolate on top of double boiler. Combine cream cheese with lowfat milk and !gradually add in sugar and salt to the mix. Stir in the mix melted chocolate and !beat the mix till smooth.
114,Use 3/4 cup boiling water to dissolve Jello - chill before adding milk Add the milk and fruit. Stir in other ingredients. Pour in to shallow dish. Cover and put in the frig. to set.,Dissolve Jello in boiling water - chill jello before adding milk. Add the milk and fruit to the jello. Stir the jello in other ingredients. Pour mix into shallow dish. Cover the mix and put mix in the fridge.,Dissolve Jello in boiling water ; chill jello before adding milk. Add the milk and fruit to the jello. Stir the jello in other ingredients. Pour mix into shallow dish. Cover the mix and !put mix in the fridge.
118,"Preheat oven to 400 degrees. Combine first 5 ingredients in large bowl. Stir in rhubarb and nuts. Pour in lined muffin tins. In small bowl, combine topping ingredients. Sprinkle on muffins. Bake for 20 minutes.","Preheat oven to 400 degrees. Combine ingredients in large bowl. Stir in the mix rhubarb and nuts. Pour mix in lined muffin tins. In small bowl, combine topping ingredients. Sprinkle topping ingredients on muffins. Bake muffins for 20 minutes.","Preheat oven to 400 degrees. Combine ingredients in large bowl. Stir in the mix rhubarb and nuts. Pour mix in lined muffin tins. In small bowl, combine topping ingredients. Sprinkle topping ingredients on muffins. Bake muffins for 20 minutes."
121,"Wash onions, trim ends and remove outer layer (keep whole). Cook in salted boiling water for 30- 50 minutes (depending on size of onions) until soft and onion layers start to 'come apart'. Drain water, and toss onions w/ margarine, sugar, salt and pepper. You can make this recipe a day or 2 in advance, store in fridge, and heat up in microwave just before serving.","Wash onions, trim the ends of the onions and remove outer layer of the onions. Cook the onions in salted boiling water for 30-50 minutes until soft and onion layers start to 'come apart'. Drain water from the onions, and toss onions with margarine, sugar, salt and pepper.  Store onions in the fridge, and heat up the onions in microwave just before serving.","Wash onions,! trim the ends of the onions and! remove outer layer of the onions. Cook the onions in salted boiling water for 30-50 minutes until soft and onion layers start to 'come apart'. Drain water from the onions, !and toss onions with margarine, sugar, salt and pepper.  Store onions in the fridge, !and heat up the onions in microwave just before serving."
122,"Heat canola oil, lightly flour chicken and fry in batches til golden brown. Puree cilantro,jalapeno,garlic,fish sauce and lime juice. Heat butter. Make sure not to burn the butter. Mix butter and puree together. Toss chicken wings in mixture. Pour onto platter and garnish with leftover puree and limes. ENJOY!","Heat canola oil, lightly flour chicken and fry chicken til golden brown. Puree cilantro,jalapeno,garlic,fish sauce and lime juice. Heat butter. Do not burn the butter. Mix butter and puree together. Toss chicken wings in mixture. Pour chicken onto platter and garnish chicken with leftover puree and limes.","Heat canola oil, !lightly flour the chicken and !fry chicken til golden brown. Puree cilantro,jalapeno,garlic,fish sauce and lime juice. Heat the butter. Do not burn the butter. Mix butter and !puree the buter together. Toss chicken wings in mixture. Pour chicken onto platter and !garnish chicken with leftover puree and limes."
123,"Put the chocolate bar into a microwave-safe bowl and add the milk. Microwave until the chocolate is soft and melted, about 30 seconds. Stir Greek yogurt into the chocolate mixture until smooth.","Put the chocolate bar into a microwave-safe bowl and add the milk to the chocolate bar. Microwave the chocolate until the chocolate is soft and melted, about 30 seconds. Stir Greek yogurt into the chocolate mixture until smooth.","Put the chocolate bar into a microwave-safe bowl and !add the milk to the chocolate bar. Microwave the chocolate until the chocolate is soft and melted, about 30 seconds. Stir Greek yogurt into the chocolate mixture until smooth."
124,"Brown meat and onion in large saucepan; drain. Add tomato sauce, undrained tomatoes, water, pasta, beans, 1/4 cup cheese and chili powder; stir. Cover; cook on medium heat 10 to 12 minutes or until pasta is tender, stirring occasionally. Sprinkle with remaining cheese just before serving.","Brown meat and onion in large saucepan; drain the meat. Add tomato sauce, undrained tomatoes, water, pasta, beans, 1/4 cup cheese and chili powder to the meat; stir the mix. Cover the mix; cook the mix on medium heat 10 to 12 minutes or until tender, stirring occasionally. Sprinkle the mix with remaining cheese just before serving.","Brown meat and onion in large saucepan; drain the meat. Add tomato sauce, undrained tomatoes, water, pasta, beans, 1/4 cup cheese and chili powder to the meat; stir the mix. Cover the mix; cook the mix on medium heat 10 to 12 minutes or until tender, stirring occasionally. Sprinkle the mix with remaining cheese just before serving."
126,"In a large bowl, mix together the gochujang, vinegar, sugar, berry extract and soy sauce. Bring to a boil 3 quarts of water in a large pot with plenty of space to spare. Add the noodles, and when the water returns to the boil, add a cup of cold water. Return to the boil and repeat, adding the cold water, twice more. By this time the noodles should be al dente. Drain them, rinse briefly with cold water and drain well. Add noodles to the bowl of seasoning. Toss together. Divide among 4 plates or bowls, top each with cucumber and serve.","In a large bowl, mix together the gochujang, vinegar, sugar, berry extract and soy sauce. Bring to a boil 3 quarts of water in a large pot. Add the noodles, and when the water returns to the boil, add a cup of cold water. Return to the boil and repeat, adding the cold water, twice more. Drain the noodles, rinse the noodles briefly with cold water and drain the noodles well. Add noodles to the bowl of seasoning. Toss noodles together with seasoning. Divide noodles among 4 plates or bowls, top each bowl with cucumber and serve noodles.","In a large bowl, mix together the gochujang, vinegar, sugar, berry extract and soy sauce. Bring to a boil 3 quarts of water in a large pot. Add the noodles, and !when the water returns to the boil, add a cup of cold water to the noodles. Add cold water to the mix. Drain the noodles, !rinse the noodles briefly with cold water and !drain the noodles well. Add noodles to the bowl of seasoning. Toss noodles together with seasoning. Divide noodles among 4 plates or bowls, !top each bowl with cucumber and !serve noodles."
139,"Add all ingredients except for the milk to soup pan and cover with water. Simmer 4 hours covered, adding more water as needed or until the peas break up. after the peas break up, remove lid and let excess water steam off until you have a thick paste. Add evaporated milk and serve.","Add all ingredients except for the milk to soup pan and cover pan with water. Simmer the mix 4 hours covered, until the peas break up. After the peas break up, remove lid from the pan. Add evaporated milk to the mix and serve.","Add all ingredients except for the milk to soup pan and !cover pan with water. Simmer the mix 4 hours covered, until the peas break up. After the peas break up, remove lid from the pan. Add evaporated milk to the mix and !serve the mix."
146,"In saucepan, combine broccoli, cauliflower, water, salt, and basil. Cook till tender. In separate pan, heat butter till lightly browned. Add in flour and stir till smooth. Gradually add in lowfat milk, stirring constantly, till thickened. Pour over vegetable mix and stir till blended.","In saucepan, combine broccoli, cauliflower, water, salt, and basil. Cook ingredients till tender. In separate pan, heat butter till lightly browned. Add in flour to the butter and stir butter till smooth. Gradually add in lowfat milk to the butter, stirring constantly, till thickened. Pour butter over vegetable mix and stir mix till blended.","In saucepan, combine broccoli, cauliflower, water, salt, and basil. Cook ingredients till tender. In separate pan, heat butter till lightly browned. Add in flour to the butter and !stir butter till smooth. Gradually add in lowfat milk to the butter, stirring constantly, till thickened. Pour butter over vegetable mix and !stir mix till blended."
151,"Place olives, Parmesan cheese, and garlic (if using) in a food processor. Add olive oil slowly while running. Process until smooth.","Place olives, parmesan cheese, and garlic in a food processor. Add olive oil slowly to the food processor. Process mix until smooth.","Place olives, parmesan cheese, and garlic in a food processor. Add olive oil slowly to the food processor. Process mix until smooth."
152,"Cut Chicken into 1 inch pieces. Add chicken to heated on medium high with oil. Cook, while stirring, for 3-5 minutes slightly brown the chicken. Reduce heat. Add canned tomatoes with their juice, chili sauce, peppers, onions, celery, garlic and spices. Bring to a boil. Reduce heat, cover and simmer for 10 minutes.","Cut Chicken into 1 inch pieces. Add chicken to heated on medium high with oil. Cook chicken, while stirring, for 3-5 minutes until the chicken is slightly brown. Reduce the heat. Add canned tomatoes with their juice, chili sauce, peppers, onions, celery, garlic and spices. Bring mix to a boil. Reduce heat, cover and simmer the chicken for 10 minutes.","Cut chicken into 1 inch pieces. Add chicken to heated on medium high with oil. Cook chicken, while stirring, for 3-5 minutes until the chicken is slightly brown. Reduce the heat. Add canned tomatoes, chili sauce, peppers, onions, celery, garlic and spices to the mix. Bring the mix to a boil. Reduce heat, !cover and simmer the chicken for 10 minutes."
154,Blend all ingredients except COOL WHIP in blender until smooth. Pour into 4 glasses. Top with COOL WHIP. Serve immediately.,Blend all ingredients in blender until smooth. Pour mix into 4 glasses. Top mix with cool whip. Serve mix immediately.,Blend all ingredients in blender until smooth. Pour mix into 4 glasses. Top mix with cool whip. Serve mix immediately.
157,"In a large skillet, melt butter over medium heat. Cook chops in butter, turning once to brown evenly. Pour in wine, and season with salt, pepper, rosemary, and garlic. Simmer, uncovered, for 20 minutes, or until chops are tender. Transfer pork chops to serving plates, and spoon sauce over the meat.","In a large skillet, melt butter over medium heat. Cook chops in butter, turning to brown evenly. Pour wine in the mix, and season chops with salt, pepper, rosemary, and garlic. Simmer the chops uncovered, for 20 minutes, or until chops are tender. Transfer pork chops to serving plates, and spoon sauce over the meat.","In a large skillet, melt butter over medium heat. Cook chops in butter, turning to brown evenly. Pour wine in the mix, and !season chops with salt, pepper, rosemary, and garlic. Simmer the chops uncovered, for 20 minutes, or until chops are tender. Transfer pork chops to serving plates, and !spoon sauce over the meat."
167,"Mix Vinegar, mustard, salt and pepper together. Add oil and whisk until well blended. Spread greens on plate or in bowl. Cover with tomato slices. Arrange Cheese slices on top of tomatoes. Drizzle dressing over salad. Sprinkle with fresh basil.","Mix Vinegar, mustard, salt and pepper together. Add oil to the mix and whisk the mixuntil well blended. Spread greens on plate or in bowl. Cover the greens with tomato slices. Arrange cheese slices on top of tomatoes. Drizzle dressing over salad. Sprinkle salad with fresh basil.","Mix vinegar, mustard, salt and pepper together. Add oil to the mix and !whisk the mix until well blended. Spread greens on plate or in bowl. Cover the greens with tomato slices. Arrange cheese slices on top of tomatoes. Drizzle dressing over salad. Sprinkle salad with fresh basil."
174,Cook pasta according to package directions. Drain and rinse with cold water. Place in large mixing bowl. Add remaining ingredients and toss. Refrigerate until ready to serve. Can be made several days ahead.,Cook pasta according to package directions. Drain and rinse pasta with cold water. Place pasta in large mixing bowl. Add remaining ingredients to the pasta and toss the pasta. Refrigerate pasta until ready to serve.,Cook pasta according to package directions. Drain and rinse pasta with cold water. Place pasta in large mixing bowl. Add remaining ingredients to the pasta and !toss the pasta. Refrigerate pasta until ready.
178,"mince all vegetables in food processor or by hand, place into a large bowl and mix in other ingredients with a thin wire whip til well mixed (you can use whole ground or brown mustard as a sub for the creole).","Mince all vegetables in food processor or by hand, place vegetables into a large bowl and mix in the bowl other ingredients with a thin wire whip til well mixed.","Mince all vegetables in food processor or by hand, !place vegetables into a large bowl and mix other ingredients in the bowl with a thin wire whip til well mixed."
194,"Preheat greased grill to medium-high heat. Grill fruit 3 min. on each side or until lightly browned on both sides. Cut fruit into 2-inch sticks; place in large salad bowl. Add greens, jicama and tomatoes; toss lightly. Drizzle with dressing just before serving.","Preheat greased grill to medium-high heat. Grill fruit 3 minutes on each side or until lightly browned. Cut fruit into 2-inch sticks; place sticks in large salad bowl. Add greens, jicama and tomatoes to the bowl; toss the salad lightly. Drizzle the salad with dressing just before serving.","Preheat greased grill to medium-high heat. Grill fruit 3 minutes or until lightly browned. Cut fruit into 2-inch sticks; place sticks in large salad bowl. Add greens, jicama and tomatoes to the bowl; toss the salad lightly. Drizzle the salad with dressing just before serving."
