Number,Text,Edited text,Segmented sentences
201,"Place the tomatoes in a 13 by 9-inch casserole dish. Sprinkle with salt and pepper to taste and top each with a pat of butter. Generously sprinkle the cheese over the tomatoes and broil for 10 to 15 minutes, until the tomatoes are heated through and the cheese is bubbly.","Place the tomatoes in a casserole dish. Sprinkle the tomatoes with salt and pepper and top each tomato with a pat of butter. Generously sprinkle the cheese over the tomatoes and broil the tomatoes for 10 to 15 minutes, until the tomatoes are heated through and the cheese is bubbly.","Place the tomatoes in a casserole dish. Sprinkle the tomatoes with salt and pepper and !top each tomato with a pat of butter. Generously sprinkle the cheese over the tomatoes and !broil the tomatoes for 10 to 15 minutes, until the tomatoes are heated through and the cheese is bubbly."
203,"Brown ground beef with onion in stock pot, stirring frequently; drain well. Add water, wine,undrained tomatoes, kidney beans, tomato sauce and taco seasoning mix. Stir till mixed well. Cover and simmer for 35 to 40 minutes stirring occasionally. Garnish with some or all of the remaining ingredients.","Brown ground beef with onion in stock pot, stirring frequently; drain beef well. Add water, wine,undrained tomatoes, kidney beans, tomato sauce and taco seasoning mix to the beef. Stir the beef till mixed well. Cover and simmer the beef for 35 to 40 minutes stirring occasionally. Garnish the beef with the remaining ingredients.","Brown ground beef with onion in stock pot, stirring frequently; drain beef well. Add water, wine,undrained tomatoes, kidney beans, tomato sauce and taco seasoning mix to the beef. Stir the beef till mixed well. Cover and simmer the beef for 35 to 40 minutes stirring occasionally. Garnish the beef with the remaining ingredients."
207,"Cream butter, almond butter, sugar, and brown sugar. Add vanilla and eggs until incorporated. Mix in dry ingredients except oatmeal. Add oats, chocolate chips, and cherries last. Line a jellyroll pan with foil and spray with nonstick spray. Cook 20 minutes on 350.","Cream butter, almond butter, sugar, and brown sugar. Add vanilla and eggs to the cream until incorporated. Mix in dry ingredients except oatmeal. Add oats, chocolate chips, and cherries to the mix. Line a jellyroll pan with foil and spray the foil with nonstick spray. Cook the mix 20 minutes on 350.","Cream butter, almond butter, sugar, and brown sugar. Add vanilla and eggs to the cream until incorporated. Mix in dry ingredients except oatmeal. Add oats, chocolate chips, and cherries to the mix. Line a jellyroll pan with foil and !spray the foil with nonstick spray. Cook the mix 20 minutes on 350."
215,"Dissolve gelatin in hot water. Add cream of mushroom soup, cream cheese and heat on low until blended. Add celery, green onion, mayonnaise, shrimp and stir well. Pour into mold and put in fridge until set, about 3 hours. Unmold and serve with crackers.","Dissolve gelatin in hot water. Add cream of mushroom soup, cream cheese and heat to the gelatin on low until blended. Add celery, green onion, mayonnaise, shrimp to the mix and stir the mix well. Pour the mix into mold and put the mix in fridge until set, about 3 hours. Unmold and serve the mix with crackers.","Dissolve gelatin in hot water. Add cream of mushroom soup, cream cheese and !heat the gelatin on low until blended. Add celery, green onion, mayonnaise, shrimp to the mix and !stir the mix well. Pour the mix into mold and !put the mix in fridge until set, about 3 hours. Unmold and serve the mix with crackers."
222,Spread peanut butter on one slice of bread; sprinkle with white sugar. Spread creamy salad dressing on the other slice of bread; top with tomato slices. Sprinkle tomatoes with salt and pepper. Place the 2 sides together and enjoy!,Spread peanut butter on one slice of bread; sprinkle bread with white sugar. Spread creamy salad dressing on the other slice of bread; top bread with tomato slices. Sprinkle tomatoes with salt and pepper. Place the 2 sides together.,Spread peanut butter on bread; sprinkle bread with white sugar. Spread creamy salad dressing on the bread; top bread with tomato slices. Sprinkle tomatoes with salt and pepper.
243,"Combine all ingredients in a large mixer bowl until smooth about 5 or 6 minutes. Add eggs , one at a time while you mix. Pour into well buttered Bundt pan, or you can use a bread loaf pan. Bake at 325 for 60 minutes, or until cake tests done.","Combine all ingredients in a large mixer bowl until smooth about 5-6 minutes. Add eggs to the bowl while you mix. Pour the mix into well buttered pan, or into bread loaf pan. Bake the mix at 325 for 60 minutes, or until cake is done.","Combine all ingredients in a large mixer bowl until smooth about 5-6 minutes. Add eggs to the bowl while mixing. Pour the mix into well buttered pan, or into bread loaf pan. Bake the mix at 325 for 60 minutes, or until cake is done."
245,"Whisk the mayonnaise, sour cream, mustard, lime juice, salt and pepper in a medium-glass or stainless steel bowl for 1 minute, or until smooth and well blended. Add the wasabi paste and whisk vigorously for 1 minute, until combined. Cover and refrigerate for at least 30 minutes.","Whisk the mayonnaise, sour cream, mustard, lime juice, salt and pepper in a medium-glass or stainless steel bowl for 1 minute, or until smooth and well blended. Add the wasabi paste to the mix and whisk the mix vigorously for 1 minute, until combined. Cover and refrigerate the mix for at least 30 minutes.","Whisk the mayonnaise, sour cream, mustard, lime juice, salt and pepper in a medium-glass or stainless steel bowl for 1 minute, or until smooth and well blended. Add the wasabi paste to the mix and !whisk the mix vigorously for 1 minute, until combined. Cover and refrigerate the mix for at least 30 minutes."
247,"Bring leftover soup to a boil. Add diced bread and cook, stirring on occasion, for 10 minutes or until soup is thick and porridgelike. Adjust the seasoning and ladle out. Drizzle with olive oil and dust with more cheese if you like.","Bring soup to a boil. Add diced bread to the soup and cook soup, stirring on occasion, for 10 minutes or until soup is thick. Adjust the seasoning on the soup and ladle out the soup. Drizzle the soup with olive oil and dust the soup with more cheese.","Bring soup to a boil. Add diced bread to the soup and !cook soup, stirring on occasion, for 10 minutes or until soup is thick. Adjust the seasoning on the soup and !ladle out the soup. Drizzle the soup with olive oil and !dust the soup with more cheese."
250,"Peel the mango and cut the flesh from the central stone. Place mango flesh in blender together with ice, sugar, salt and yoghurt. Blitz until smooth. Pour into glasses and top up with chilled soda water. Serve.","Peel the mango. Place mango in blender together with ice, sugar, salt and yoghurt. Blitz mango until smooth. Pour mango into glasses and top up mango with chilled soda water. Serve the mango.","Peel the mango. Place mango in blender together with ice, sugar, salt and yoghurt. Blitz mango until smooth. Pour mango into glasses and !top up mango with chilled soda water. Serve the mango."
254,Preheat oven to 350 degrees. Combine all ingredients together in large bowl. Spray large casserole dish or oblong baking pan with non-stick cooking spray. Pour ingredients in pan and bake at 350 degrees for 1 hour or until knife inserted in middle comes out clean.,Preheat oven to 350 degrees. Combine all ingredients together in large bowl. Spray large casserole dish or baking pan with non-stick cooking spray. Pour ingredients in pan and bake at 350 degrees for 1 hour or until knife inserted in middle comes out clean.,Preheat oven to 350 degrees. Combine all ingredients together in large bowl. Spray large casserole dish or baking pan with non-stick cooking spray. Pour ingredients in pan and !bake ingredients at 350 degrees for 1 hour or until knife inserted in middle comes out clean.
257,"Preheat oven to 425 degree F. Put entire stick butter into a 9 x 13 inch pan. Put pan with butter into the oven until butter is melted. Beat the eggs, milk, and salt until frothy. Add flour. Beat until mixed. Pour over melted butter. Bake for 25 to 30 minutes. Serve with syrup or jelly.","Preheat oven to 425 degree F. Put butter into a pan. Put pan with butter into the oven until butter is melted. Beat the eggs, milk, and salt until frothy. Add flour to the mix. Beat the mix until mixed. Pour the mix over melted butter. Bake the mix for 25 to 30 minutes. Serve the mix with syrup or jelly.","Preheat oven to 425 degree F. Put butter into a pan. Put pan with butter into the oven until butter is melted. Beat the eggs, milk, and salt until frothy. Add flour to the mix. Beat the mix until mixed. Pour the mix over melted butter. Bake the mix for 25 to 30 minutes. Serve the mix with syrup or jelly."
261,"In a cocktail shaker, muddle the mint, sugar, lime juice and Simple Syrup. Add ice, shake well and pour into a highball glass. Top with the ginger ale.","In a cocktail shaker, muddle the mint, sugar, lime juice and simple syrup. Add ice to the mix, shake the mix well and pour the mix into a highball glass. Top the mix with the ginger ale.","In a cocktail shaker, muddle the mint, sugar, lime juice and simple syrup. Add ice to the mix, !shake the mix well and !pour the mix into a highball glass. Top the mix with the ginger ale."
264,"Bring the mixture just to a boil, cool slightly, pour into a clean jar with a tight-fitting lid. Let it steep in a cool, dark place for several weeks, then store in the refrigerator.","Bring the mixture just to a boil, cool the mixture slightly, pour the mixture into a clean jar with a tight-fitting lid. Cool the mixture for several weeks, then store the mix in the refrigerator.","Bring the mixture just to a boil, !cool the mixture slightly, !pour the mixture into a clean jar with a tight-fitting lid. Cool the mixture for several weeks, !then store the mix in the refrigerator."
268,Combine all ingredients and cook over medium heat until potatoes are just tender. Turn down heat to low and simmer at least 1.5 hours.,Combine all ingredients and cook the ingredients over medium heat until potatoes are just tender. Turn down heat to low and simmer the mix at least 1.5 hours.,Combine all ingredients and !cook the ingredients over medium heat until potatoes are just tender. Turn down heat to low and !simmer the mix at least 1.5 hours.
271,"Combine flour, salt and pepper, seasoning and eggs. Dip fish in mixture. Heat butter and oil in a saute pan and saute fish until crisp on both sides.","Combine flour, salt and pepper, seasoning and eggs. Dip fish in mixture. Heat butter and oil in a saute pan and saute fish until crisp on both sides.","Combine flour, salt and pepper, seasoning and eggs. Dip fish in mixture. Heat butter and oil in a saute pan and !saute fish until crisp on both sides."
274,"Put chicken in a greased 9x13-inch baking dish. Top with cheese slices, soup and sprinkle with stuffing mix. Drizzle butter over. Bake covered at 350F for 45 minutes.","Put chicken in a greased baking dish. Top chicken with cheese slices, soup and sprinkle chicken with stuffing mix. Drizzle butter over the chicken. Bake the chicken covered at 350F for 45 minutes.","Put chicken in a greased baking dish. Top chicken with cheese slices, soup and !sprinkle chicken with stuffing mix. Drizzle butter over the chicken. Bake the chicken covered at 350F for 45 minutes."
285,"Sift flour and baking powder together. Stir in cheese, bacon and chives. Mix milk and eggs together and then add to flour mix, stirring until just combined. Spoon into prepared muffins tins. Bake in moderately hot oven 200deg C/380deg F for 15- 20 minutes.","Sift flour and baking powder together. Stir in cheese, bacon and chives. Mix milk and eggs together and then add milk and eggs to flour mix, stirring until just combined. Spoon the mix into prepared muffins tins. Bake the mix in moderately hot oven 200deg C/380deg F for 15- 20 minutes.","Sift flour and baking powder together. Stir in cheese, bacon and chives. Mix milk and eggs together and !then add milk and eggs to flour mix, stirring until just combined. Spoon the mix into prepared muffins tins. Bake the mix in moderately hot oven 200deg C/380deg F for 15- 20 minutes."
296,Preheat oven to 325 degrees. Whisk together wet ingredients. Whisk together dry ingredients. Combine both bowls and mix with hands ( mix will be thick). Make into patties ( cookie size). Cook for 15 minutes.,Preheat oven to 325 degrees. Whisk together wet ingredients. Whisk together dry ingredients. Combine both bowls of ingredients and mix the ingredients with hands. Cook the ingredients for 15 minutes.,Preheat oven to 325 degrees. Whisk together wet ingredients. Whisk together dry ingredients. Combine both bowls of ingredients and !mix the ingredients with hands. Cook the ingredients for 15 minutes.
298,"Bring vinegar, water, sugar and spices to a boil. In succession add carrots, cauliflower, red pepper, onions and zucchini, leaving 2-3 minutes between addition of each vegetable. Remove from heat and let cool.","Bring vinegar, water, sugar and spices to a boil. Add carrots, cauliflower, red pepper, onions and zucchini to the mix, leaving 2-3 minutes between addition of each vegetable. Remove the mix from heat and let cool the mix.","Bring vinegar, water, sugar and spices to a boil. Add carrots, cauliflower, red pepper, onions and zucchini to the mix, leaving 2-3 minutes between addition of each vegetable. Remove the mix from heat and !let cool the mix."
306,"Marinate Chicken breasts with lemon juice, herbs, and spices overnight. Place chicken in casserole dish with marinade covering bottom (at very least) to prevent drying. Bake @ 350","Marinate chicken breasts with lemon juice, herbs, and spices overnight. Place chicken in casserole dish with marinade. Bake the chicken at 350","Marinate chicken breasts with lemon juice, herbs, and spices overnight. Place chicken in casserole dish with marinade. Bake the chicken at 350"
309,"Combine 2 1/2 cup water and salt in small saucepan; bring to a boil. Mix cornmeal with remaining water in a small bowl. Add cornmeal mixture slowly to boiling water, stirring constantly. Reduce heat to low; cook stirring constantly, for 5 minutes or until mixture is thickened.","Combine water and salt in small saucepan; bring water to a boil. Mix cornmeal with water in a small bowl. Add cornmeal mixture slowly to boiling water, stirring constantly. Reduce heat to low; cook stirring constantly, for 5 minutes or until mixture is thickened.","Combine water and salt in small saucepan; bring water to a boil. Mix cornmeal with water in a small bowl. Add cornmeal mixture slowly to boiling water, stirring constantly. Reduce heat to low; cook stirring constantly, for 5 minutes or until mixture is thickened."
319,Place ingredients in the bread machine pan in the order suggested by the manufacturer. Select Sweet bread cycle and light crust; start machine.,Place ingredients in the bread machine. Select sweet bread cycle and light crust; start the machine.,Place ingredients in the bread machine. Select sweet bread cycle and light crust; start the machine.
337,"Stir cornmeal into 2 cups of milk and let mixture come to a boil, making a mush. Remove from heat and add balance of milk and well-beaten eggs. Stir in salt, baking powder and melted butter . Bake in 2 quart greased casserole for 30 minutes at 350 degrees.","Stir cornmeal into 2 cups of milk and boil mixture, making a mush. Remove mixture from heat and add milk and well-beaten eggs to the mixture. Stir salt, baking powder and melted butter in the mixture. Bake mixture in greased casserole for 30 minutes at 350 degrees.","Stir cornmeal into 2 cups of milk and !boil mixture, making a mush. Remove mixture from heat and !add milk and well-beaten eggs to the mixture. Stir salt, baking powder and melted butter in the mixture. Bake mixture in greased casserole for 30 minutes at 350 degrees."
343,"Melt butter in 10-inch skillet over medium-high heat until sizzling; add shrimp. Cook just 2-3 minutes or until shrimp are pink. Remove from heat; season lightly with salt and pepper, if desired. Combine coleslaw mix and dressing in bowl. *Substitute shredded lettuce.",Melt butter in 10-inch skillet over medium-high heat until sizzling; add shrimp to the skillet. Cook shrimp just 2-3 minutes or until shrimp are pink. Remove shrimp from heat; season the shrimp lightly with salt and pepper. Combine coleslaw mix and dressing in bowl.,Melt butter in 10-inch skillet over medium-high heat until sizzling; add shrimp to the skillet. Cook shrimp just 2-3 minutes or until shrimp are pink. Remove shrimp from heat; season the shrimp lightly with salt and pepper. Combine coleslaw mix and dressing in bowl.
347,Pour all of the diced melons in a large glass pitcher. Top with ice. Gently muddle mint leaves with the lemon juice. Add to pitcher. Pour wine last into the glass and stir with a wooden spoon.,Pour the diced melons in a large glass pitcher. Top melons with ice. Gently muddle mint leaves with the lemon juice. Add lemon juice to pitcher. Pour wine into the glass and stir the wine with a wooden spoon.,Pour the diced melons in a large glass pitcher. Top melons with ice. Gently muddle mint leaves with the lemon juice. Add lemon juice to pitcher. Pour wine into the glass and !stir the wine with a wooden spoon.
350,"Pour the champagne and energy drink into a large pitcher. Stir to mix, pour into glasses, and serve.","Pour the champagne and energy drink into a large pitcher. Stir the drink, pour the drink into glasses, and serve the drink.","Pour the champagne and energy drink into a large pitcher. Stir the drink, !pour the drink into glasses, and !serve the drink."
356,"In a bowl, using an electric mixer, beat together peanut butter, butter, and salt until creamy. With mixer on low speed, beat in powdered sugar, 1/2 cup at a time. Increase speed to medium-high and beat until light and fluffy. Add cocoa powder, beating until very smooth and creamy.","In a bowl, using an electric mixer, beat together peanut butter, butter, and salt until creamy. With mixer on low speed, beat in powdered sugar. Increase mixer speed to medium-high and beat the mix until light and fluffy. Add cocoa powder to the mix, beating until very smooth and creamy.","In a bowl, using an electric mixer, beat together peanut butter, butter, and salt until creamy. With mixer on low speed, beat in powdered sugar. Increase mixer speed to medium-high and !beat the mix until light and fluffy. Add cocoa powder to the mix, beating until very smooth and creamy."